from,to,cost
33,48,507.8266695179782
33,60,2191.1714575518913
33,18,1390.885739979585
33,38,1526.1628571009096
33,23,3063.5447142781213
33,20,1845.8550632920833
33,56,962.5549476302278
33,43,203.04493449463007
33,15,344.42502479646555
33,37,1862.5166415626145
33,51,2864.5995471801252
33,40,1658.2895979477425
33,36,1277.3570499692603
33,47,1887.827257797297
33,49,308.9378547335309
33,64,2980.417353171557
33,66,1249.5303381719702
33,22,2542.0132538806797
33,14,469.9102942989834
33,44,288.5892844847717
33,13,1352.2192938169985
33,50,2118.01189598009
33,54,713.8432103233264
33,39,1206.2905540766774
33,58,1919.9403358610286
33,34,1515.2077074597223
33,65,1522.519459526566
33,21,1813.1826804270947
33,19,2726.825252943826
33,61,2211.8332087187478
33,62,2120.4829659751945
33,17,3167.9187617294606
34,34,0.0
34,57,2202.1307423702233
34,58,1023.3864431071447
34,37,763.5658658114995
34,21,1214.4711096280114
34,65,296.94354622112945
34,15,1799.3494696429839
34,44,1593.422719549921
34,49,1463.3937114664077
34,43,1328.6851122156077
34,62,2263.4769436457755
34,55,1709.221193373557
34,22,1191.2889024924461
34,16,1843.4702268105702
34,23,1763.2619617201055
34,51,1364.1654038020922
34,18,2655.149005332174
34,20,1788.4278893167457
34,39,2682.2313850233886
34,24,1684.6662881678972
34,66,2485.297727110544
34,61,2074.042209976126
34,41,975.6449996880573
34,35,1826.53875404095
34,19,2614.031336270988
34,14,1976.088880674584
34,13,2700.698526668014
34,56,1717.6423021650398
34,48,1021.4555668478263
34,36,2715.5474211103137
34,45,2069.2529156727414
34,63,2431.0681852274547
34,54,2182.979409618534
35,14,337.7744945164779
35,42,777.6484369341786
35,35,0.0
35,15,407.1531988389583
35,44,538.6605685266283
35,39,1028.078089881034
35,13,1288.5833684776032
35,46,599.7867963462738
35,16,866.4541922228365
35,18,1049.3042261209562
35,66,1269.971159830755
35,49,397.085581913498
35,40,1392.360557005991
35,54,605.0049394562275
35,43,558.8499912986412
35,57,1140.2742074549215
35,56,1217.1234569118847
35,20,1841.602133893381
35,24,1741.5046674006214
35,38,1502.1526916393766
35,41,866.0637801980666
35,63,923.0573001353918
35,36,1140.7681353924906
35,45,742.8164697113817
35,55,293.8678391578785
35,19,2673.4019670201114
35,21,1940.1292220907212
35,17,3026.795033409423
35,37,2083.1700561557964
35,23,3416.656397949647
35,47,1656.5145824726137
35,50,1985.4363330431818
35,65,1860.2302713721665
35,61,2194.990682259058
35,58,2097.4661575040855
35,48,805.2266052441466
35,64,2751.827685162807
35,51,3153.3652727392137
35,62,2039.7067560852836
35,22,2889.338113732929
36,13,290.50023773643466
36,66,550.8098323149205
36,36,0.0
36,24,1813.7633935395497
36,56,1283.7410261140149
36,46,570.3142003776671
36,15,941.3448380014862
36,45,653.4666664788883
36,39,176.40867217054142
36,42,1588.3595550322898
36,18,1628.52933144232
36,58,3194.4769412527335
36,57,744.846377614019
36,16,937.7362191275462
36,43,1419.3890865579785
36,14,829.8710232256287
36,65,2646.230128262276
36,54,564.5368589704395
36,40,2224.1315326202507
36,47,2545.1637034739524
36,41,1881.3643000402483
36,49,1503.5920831224523
36,63,285.6806624674344
36,55,1428.4320392745663
36,38,2630.2305840022514
36,22,3564.145634950794
36,21,3066.4753684718303
36,48,1771.014955186286
36,19,3769.8960981301184
36,44,1124.7262703477268
36,61,3318.3943429435944
36,23,4010.4282965676443
36,51,4079.6383720929557
53,46,3655.044148296245
37,38,1317.4417797131791
37,42,1592.061416323658
37,16,2373.8384998256747
37,20,1269.8598145547483
37,22,1670.5407190874855
37,44,2037.5515422359204
37,24,2409.5714839086863
37,21,585.0193159489846
37,23,2217.591619910502
37,56,2345.9746056336626
37,58,290.4659990707304
37,63,2867.067778548907
37,57,2754.1533459961806
37,51,1231.8988262673372
37,50,2005.3149673925893
37,66,3017.667291786443
37,15,2197.5553170614985
37,19,1965.467415219886
37,37,0.0
37,49,1686.084614249253
37,45,2533.6775496801065
37,13,3184.3124444510036
37,41,1256.9980218804803
37,17,2757.8216533972936
37,54,2576.1372251183066
37,14,2326.1524803125785
37,61,1468.3654384872668
37,46,2666.6648476158057
37,18,2656.789417211911
37,55,1871.0645326633153
37,62,1748.7776729600346
37,48,1370.6212340183736
37,65,1056.8749690090067
37,40,2407.04509462296
37,39,3067.2505911858957
54,15,385.8543551777609
54,66,695.7480014182954
54,54,0.0
54,57,651.3700893511124
54,45,274.6060653125581
54,46,259.0285484478458
54,63,319.07060840339415
54,18,1365.7840473889444
54,14,273.08710537175483
54,55,898.847126348033
54,16,573.8882423809955
54,56,986.4972642952916
54,39,500.20262659622006
54,42,1050.0029037598138
54,13,683.6145239555068
54,21,2505.667831343751
54,22,3104.3168312400694
54,24,1557.1455596284204
