from,to,cost
39,33,2358.9643074203514
39,63,635.8370711386368
39,38,1317.44177971183
39,24,3430.386645042563
39,48,1054.035672356767
39,47,2064.9453496802535
39,65,1864.650728353792
39,17,2221.124764314373
39,44,1537.679681104798
61,28,2259.458164175854
61,66,2201.717398875453
61,15,2540.1418514047473
61,14,3494.889576238535
61,67,3435.3392245283812
61,16,2515.8633245827264
61,29,2181.4180044204677
61,61,0.0
61,47,2782.8936614135164
61,46,2895.5917686151024
61,18,1484.0164243888344
61,20,700.3240723459975
61,58,3237.7442074631385
61,24,3491.804688373348
61,62,216.63073516201732
61,25,3285.0171677378426
61,27,3143.487275735507
61,56,1917.8893117353834
61,30,1205.5562202000715
61,48,1514.176986304986
61,17,2872.086295546706
61,42,1750.3386503914357
61,51,919.6567514648447
61,64,3131.318328773127
61,50,1895.5170490244047
67,14,309.34698288460913
67,25,1321.7413459579593
67,47,880.8741353542442
67,17,647.1465590136837
67,19,2028.2906462924548
67,27,1154.0305712955515
67,28,1533.4530660632133
67,40,690.6696163984412
67,42,1796.6530762805087
67,44,1320.2260623656377
67,51,3251.7218956014876
67,55,695.7480014182954
67,58,290.7564043218741
67,64,451.78023735560123
67,67,0.0
67,15,934.9484129776646
67,16,919.6927707368798
67,20,3937.6573222434404
67,24,3599.043994563561
67,29,1418.7241987670247
67,32,1709.4106566959847
67,33,3285.143306564664
67,34,1249.5303381719702
67,43,1425.8517083744414
67,45,1001.7018722508316
67,46,540.3289978885717
67,49,1665.6912549656868
67,57,855.6965743156859
67,65,3936.6874457122767
67,41,2560.6993314728434
67,36,1269.971159830755
67,56,1558.185119448184
67,23,3194.2535915282633
67,62,3443.0835455671736
67,66,2362.33252740597
67,48,2862.430899588363
67,50,1539.829213670457
67,38,3017.6672917855003
67,35,2485.297727110544
67,63,3308.4351206125666
67,18,4286.420542778689
67,53,3121.595343615878
67,30,2623.5228567999266
51,16,2372.1423900343716
51,41,959.2558150298898
51,48,673.3570098529412
51,34,2118.0118959729707
51,46,2728.0891330464783
51,18,1049.9142225978153
51,51,0.0
51,38,2005.3149673901114
51,33,3075.653802113977
51,65,1111.8129991486933
51,15,2317.0364992735526
51,55,2565.058352970892
51,29,1847.7619806411992
51,36,1985.4363330355586
51,62,718.9391274551623
51,19,1587.1911057220475
51,57,3066.3009810401218
51,63,314.16788081710945
51,17,2806.3348499222557
51,14,3229.0990577440616
51,58,3120.57492793023
51,23,3609.7726080088687
51,27,3281.4665146024968
51,47,2453.5697171606184
51,20,844.2669607847492
51,30,1754.2942079728869
51,28,2457.0845971851395
62,29,2140.5558660966476
62,15,2530.5209106832094
62,16,2524.6257542296653
62,18,1291.1745001608244
62,20,557.3728951467589
62,33,2537.9323852073467
62,57,3077.9742687909297
62,50,1908.3798267715747
62,30,1354.8844346791118
62,56,1901.1634209529188
62,36,2194.9906822512194
62,58,3259.685394023885
62,43,2224.1694986895577
62,35,2074.0422099752204
62,65,1725.2089548086115
62,45,2491.7374775255116
62,38,1468.3654384878878
62,46,2902.8874093494514
62,19,2114.518490142574
62,14,3483.54405632919
62,62,0.0
62,66,2355.3517681293333
62,23,3134.850035577482
62,34,2211.833208711866
62,28,2344.438593816023
62,27,3223.3393320106024
62,17,2902.9565639497014
62,42,1817.9643345896352
36,15,337.7744945164779
36,25,1741.5046674006214
36,47,599.7867963515653
36,16,407.1531988380739
36,45,538.6605685214391
36,29,270.0384098207498
36,41,1392.360557006298
36,19,1049.3042261209562
36,43,777.6484369331167
36,40,1028.0780898818427
36,32,678.9173891725951
36,57,1217.1234569118847
36,36,0.0
36,44,558.849991292973
36,14,1288.5833684776032
36,58,1140.2742074549215
36,55,605.0049394562275
36,27,1526.0529414331043
36,46,742.8164697168125
36,18,3026.795033409423
36,20,2673.4019670170005
36,56,293.8678391578785
36,64,923.0573001425739
36,17,866.4541922228365
36,33,2711.298391056641
36,42,866.063780190657
36,34,358.2540556802334
36,38,2083.1700561545526
36,48,1656.5145824706512
36,24,3416.65639794713
36,50,397.08558190585853
36,28,1054.2510281120808
36,30,1636.0076457327532
36,49,805.2266052432052
36,65,2751.827685162807
36,35,1826.53875404095
36,63,2039.7067560791925
36,23,2889.338113732929
14,14,0.0
14,19,1894.5579102373626
14,25,1627.932005040099
14,28,1746.2392009989737
14,40,461.0685728897834
14,41,2471.2188299162053
14,45,1146.7621505415862
14,57,1140.154089131752
14,27,1454.3230005548799
14,29,1381.6448850768552
14,43,1600.483824259978
14,46,650.6836799310378
14,47,782.4123368925515
14,15,954.8114516857403
14,16,1007.9316173854403
14,42,1937.633205327585
14,44,1461.3651498647619
14,48,2786.403566770764
14,49,1815.4439638231947
14,58,570.6974101488038
14,64,366.6351308483163
14,23,3468.510119419023
14,34,1352.2192938169985
14,65,3836.8295371668737
14,17,863.6292172861084
14,55,683.6145239555068
14,56,1582.3819380736873
14,66,2600.5363971868683
14,50,1614.54141824721
14,32,1822.6558181351359
14,10,4226.652132140975
14,33,3525.1641440677076
14,18,4245.526338969365
14,20,3955.007210434745
14,35,2700.698526668014
14,30,2771.496541936162
14,63,3314.69764754425
14,24,3887.679600325223
14,53,2996.1233757360656
25,16,1377.6284505338263
25,17,984.3492598508548
25,25,0.0
25,27,219.00519556882188
25,28,1030.8483475043315
25,38,2409.5714839082807
25,44,1312.7611168204323
25,45,1202.847384968329
25,46,1289.8183459853526
25,57,570.7686002809893
25,58,1070.6776150986666
25,64,1580.0633522096941
25,15,1574.070813650326
25,23,2000.315147281317
25,24,2329.0800414035975
25,40,1894.2112535272718
25,56,1899.192580007876
25,33,2269.2759725099427
25,34,1440.7034875036152
25,32,1643.4778171465562
25,66,1443.394385707502
25,47,1814.8923230216944
25,55,1557.1455596284204
25,63,3396.931796353903
25,30,2162.648755058696
25,49,1446.3160418294822
25,42,1570.1361583947403
25,29,2006.0232359496047
25,35,1684.6662881678972
25,50,1700.268850106677
25,43,1197.8269077715693
25,19,2782.2758734817703
25,41,3098.8369604373147
25,65,4403.046440648671
25,18,4497.767838540807
25,20,3928.4304893387402
27,15,1355.0752063375362
27,47,1599.3768345178253
27,58,887.3274416808125
27,16,1158.9582251381603
27,17,768.6882705783805
27,38,2333.6320009652604
27,46,1077.578239842939
27,49,1278.1501435400633
27,50,1500.8562805930562
27,57,356.65293402391677
27,64,1379.6606311576304
27,66,1423.4927746599349
27,28,884.7862483981269
27,30,2054.1110439866907
27,33,2293.5807269909706
27,40,1694.5091893671267
27,55,1342.3889755401108
27,34,1232.556931162689
27,19,2564.6567009300115
27,20,3773.5611160545977
27,24,2455.3120117711715
27,27,0.0
27,32,1463.674991638065
27,42,1407.8258100754108
27,43,1018.4071683364406
27,44,1114.956557606188
27,63,3227.2384983158213
27,35,1638.1686897979237
27,18,4321.3260562783325
27,23,2087.255997727907
27,48,3116.327468467984
27,45,987.5794251948716
27,65,4204.199536187984
27,41,2890.507067977911
27,29,1789.4104541438892
27,56,1691.5882153990847
16,15,215.03941437346435
16,47,556.7819730902719
16,58,749.5866823334208
16,55,385.8543551715969
16,34,344.4250248012868
16,16,0.0
16,17,459.93414770805737
16,28,895.7294349091704
16,29,645.5426580921376
16,32,814.9715953673906
16,40,885.964530812617
16,41,1797.660035275252
16,42,941.2774571415881
16,43,667.0186846555052
16,44,480.1434432588753
16,45,230.4147363448587
16,46,379.7411950172518
16,48,2063.5774670332603
16,49,829.774814968426
16,50,620.4411690680398
16,57,829.4791333623205
16,64,670.8510097171051
16,24,3246.9165411842328
16,33,2669.5382937593827
16,56,663.7229954623963
16,19,1409.1222800607363
16,66,1767.0941886324358
16,18,3418.4777992271024
16,23,2751.12237931317
16,30,1772.798067075104
16,35,1799.3494696493317
16,63,2404.479307877006
16,38,2197.5553170660246
16,65,3158.979681053145
16,20,3025.769651478717
16,53,2415.286111695823
19,15,1232.6282607668952
19,47,1147.75456795472
19,46,1620.8928190851786
19,29,779.8374227113262
19,41,651.8641606480061
19,19,0.0
19,48,982.6290395432063
19,44,1575.4686471246011
19,58,2016.6113185650772
19,28,2058.771631816819
19,45,1583.1584351039942
19,17,1849.359993040393
19,32,1499.747821867845
19,53,1101.6008692509026
19,57,2238.2706069294068
19,64,1580.4174302273204
19,34,1390.885739979585
19,40,1453.5719170055884
19,42,1702.2183473758469
19,30,2221.3478064779383
19,65,1955.3778781442122
19,33,3510.9103920252373
19,55,1365.7840473889444
19,56,992.2341916192877
19,38,2656.789417210506
19,18,2478.9144234309288
19,49,1708.3610830783493
19,20,2422.667362046207
19,66,2764.7605204949314
19,24,4360.71755448109
19,43,1780.011146475876
29,15,505.9139596116592
29,47,614.6273132089698
29,58,1332.774131892512
29,34,621.4662977866224
29,28,1310.639191601626
29,46,926.0293452672487
29,17,1101.5302190401233
29,24,3660.7445755848626
29,29,0.0
29,44,816.5853869280406
29,56,339.9337940469576
29,40,1042.666735590566
29,49,1019.4611483543055
29,57,1471.9231956995093
29,63,1939.962473080933
29,65,2538.6009284005067
29,18,2871.6223052124137
29,41,1165.5685015674035
29,64,1018.8620219281523
29,55,723.808713967291
29,45,804.3327837775796
29,42,1055.1325771838153
29,48,1450.9244532511636
29,43,1031.4675708148827
29,30,1758.7834027911592
29,66,2088.0490507271884
29,20,2584.9725709727236
29,33,2911.9865852077774
29,32,853.4913437188166
29,50,566.7048596783535
34,47,825.8866590397113
34,58,1048.1843535088572
34,17,696.9924655907978
34,28,696.9496005622071
34,32,470.5466241798841
34,34,0.0
34,42,606.0986828346348
34,50,308.937854729005
34,56,459.0353141973626
34,57,962.5549476302278
34,48,1887.8272577966939
34,15,469.9102942989834
34,55,713.8432103233264
34,23,2542.0132538806797
34,43,423.0650354086519
34,44,203.04493448825923
34,45,288.58928448539785
34,46,715.6318125346716
34,49,507.8266695164494
34,64,1012.953887707809
34,40,1206.2905540772601
34,65,2980.417353171557
34,33,2396.9570472486935
34,66,1522.519459517849
34,35,1515.2077074597223
34,30,1432.3653032662514
34,38,1862.51664156148
34,41,1658.2895979489974
34,24,3063.5447142754947
34,20,2726.825252940635
34,63,2120.482965969709
40,15,741.6952252513095
40,47,434.50760476650714
40,58,841.4800674284573
40,41,2054.179328530813
40,56,1307.5291273769878
40,17,968.7529736844177
40,43,1549.4220441842467
40,30,2631.285102487735
40,24,4039.2894757781282
40,40,0.0
40,57,1345.142637551184
40,55,500.202626596676
40,46,660.9080773295901
40,64,314.8760843404188
40,32,1659.6685965105328
40,42,1812.2163919106843
40,6,3114.5862030410076
40,44,1365.3725553742684
40,28,1755.160359954662
40,45,1090.285673079454
40,0,4515.739793463027
40,8,1858.981423129604
40,49,1710.128886352383
40,48,2376.947896983938
40,38,3067.250591185358
40,66,2631.9635366679663
46,47,532.9390862511052
46,58,406.85456847351776
46,56,1024.553552061125
46,15,421.26614038881974
46,28,1121.5077097115902
46,45,496.18862869066595
46,17,316.3168662267571
46,32,1182.4482711377602
46,33,2913.9316384397353
46,43,953.5279176680057
46,44,811.1727873553965
46,57,720.930564095227
46,64,368.2444692902109
46,55,274.6060653134008
46,46,0.0
46,66,1992.96486152297
46,48,2376.1912026789732
46,23,2918.5257922125206
46,41,2090.030753648203
46,30,2121.917592998282
46,42,1288.3660216461967
46,49,1164.922711493582
46,65,3464.5045493611474
46,38,2533.6775496853234
46,24,3378.41787703209
46,50,1000.1775556828123
46,35,2069.2529156783808
46,20,3399.8722184031735
47,15,360.6535722894285
47,43,1212.7757499437728
47,44,1007.938863399465
47,45,785.8003443546831
47,17,830.7324943176937
47,28,1451.8726118521029
47,47,0.0
47,55,259.02854844946876
47,32,1254.667842101305
47,42,1421.9281134418397
47,64,437.6880994618448
47,57,1244.1241660815722
47,58,890.3100767608421
47,24,3800.5620003168083
47,49,1333.122391922418
47,56,873.8514688418355
47,63,2554.2719673883325
47,50,988.4568044684312
47,65,3065.3858055689543
47,30,2224.261644003946
47,1,3587.9595105528015
47,66,2319.7921443267824
47,20,3199.587194953981
47,41,1693.7401625747063
47,54,3655.0441482935435
47,38,2666.6648476199057
47,48,2005.5613803281055
47,2,3786.8970371302303
47,23,3307.8230420118703
57,15,1014.3914331883392
57,64,1030.5267182729488
57,17,413.68241443963586
57,49,1132.0524288637314
57,42,1270.5763545616762
57,57,0.0
57,58,570.4773962211929
57,55,986.4972642952916
57,28,824.8060516252865
57,45,689.5237553226813
57,38,2345.974605632948
57,56,1414.7821076717673
57,43,857.3689794098102
57,32,1278.7631929293282
57,50,1256.1202279299064
57,65,3941.0640308336533
57,66,1552.027422450198
57,30,2012.3608960711254
57,44,888.7767596853427
57,41,2602.543692133739
57,33,2462.9252516952674
57,23,2339.1930751815785
57,48,2846.5248852317595
57,24,2747.56167832446
57,35,1717.6423021650398
15,15,0.0
15,17,616.9448626586645
15,33,2853.3381041781845
